src,dst,edge_type
sigma70,RDBECOLIPMC02525,BINDS
sigma70,RDBECOLIPMC02500,BINDS
sigma70,RDBECOLIPMC00297,BINDS
sigma38,RDBECOLIPMC00295,BINDS
sigma70,RDBECOLIPMC00233,BINDS
sigma38,RDBECOLIPMC03187,BINDS
sigma70,RDBECOLIPMC00344,BINDS
sigma70,RDBECOLIPMC03044,BINDS
sigma70,RDBECOLIPMC02454,BINDS
sigma70,RDBECOLIPMC01276,BINDS
sigma70,RDBECOLIPMC03017,BINDS
sigma38,RDBECOLIPMC00082,BINDS
sigma70,RDBECOLIPMC02537,BINDS
sigma70,RDBECOLIPMC01295,BINDS
sigma38,RDBECOLIPMC00302,BINDS
sigma38,RDBECOLIPMC00088,BINDS
sigma70,RDBECOLIPMC00308,BINDS
sigma24,RDBECOLIPMC00242,BINDS
sigma70,RDBECOLIPMC00232,BINDS
sigma70,RDBECOLIPMC00312,BINDS
sigma70,RDBECOLIPMC03137,BINDS
sigma24,RDBECOLIPMC01383,BINDS
sigma70,RDBECOLIPMC02420,BINDS
sigma70,RDBECOLIPMC03951,BINDS
sigma38,RDBECOLIPMC03120,BINDS
sigma70,RDBECOLIPMC03043,BINDS
sigma70,RDBECOLIPMC00237,BINDS
sigma70,RDBECOLIPMC00100,BINDS
sigma70,RDBECOLIPMC01427,BINDS
sigma70,RDBECOLIPMC00340,BINDS
sigma70,RDBECOLIPMC03091,BINDS
sigma70,RDBECOLIPMC01456,BINDS
sigma70,RDBECOLIPMC00264,BINDS
sigma70,RDBECOLIPMC00253,BINDS
sigma70,RDBECOLIPMC00257,BINDS
sigma70,RDBECOLIPMC00228,BINDS
sigma70,RDBECOLIPMC03113,BINDS
sigma70,RDBECOLIPMC03112,BINDS
sigma70,RDBECOLIPMC02505,BINDS
sigma70,RDBECOLIPMC00115,BINDS
sigma32,RDBECOLIPMC03252,BINDS
sigma70,RDBECOLIPMC00506,BINDS
sigma70,RDBECOLIPMC00116,BINDS
sigma70,RDBECOLIPMC00259,BINDS
sigma54,RDBECOLIPMC00331,BINDS
sigma70,RDBECOLIPMC02522,BINDS
sigma70,RDBECOLIPMC00267,BINDS
sigma38,RDBECOLIPMC03183,BINDS
sigma70,RDBECOLIPMC02611,BINDS
sigma32,RDBECOLIPMC01611,BINDS
sigma32,RDBECOLIPMC01612,BINDS
sigma70,RDBECOLIPMC00515,BINDS
sigma70,RDBECOLIPMC03099,BINDS
sigma70,RDBECOLIPMC00250,BINDS
sigma70,RDBECOLIPMC03081,BINDS
sigma70,RDBECOLIPMC00560,BINDS
sigma54,RDBECOLIPMC03121,BINDS
sigma32,RDBECOLIPMC00317,BINDS
sigma70,RDBECOLIPMC01702,BINDS
sigma32,RDBECOLIPMC03250,BINDS
sigma70,RDBECOLIPMC02512,BINDS
sigma32,RDBECOLIPMC03260,BINDS
sigma38,RDBECOLIPMC01737,BINDS
sigma38,RDBECOLIPMC00136,BINDS
sigma32,RDBECOLIPMC03154,BINDS
sigma70,RDBECOLIPMC00363,BINDS
sigma70,RDBECOLIPMC02606,BINDS
sigma70,RDBECOLIPMC03658,BINDS
sigma28,RDBECOLIPMC03031,BINDS
sigma70,RDBECOLIPMC01799,BINDS
sigma54,RDBECOLIPMC00330,BINDS
sigma70,RDBECOLIPMC02461,BINDS
sigma70,RDBECOLIPMC00230,BINDS
sigma70,RDBECOLIPMC03284,BINDS
sigma70,RDBECOLIPMC03028,BINDS
sigma70,RDBECOLIPMC00494,BINDS
sigma38,RDBECOLIPMC00153,BINDS
sigma70,RDBECOLIPMC00304,BINDS
sigma38,RDBECOLIPMC00224,BINDS
sigma38,RDBECOLIPMC02409,BINDS
sigma70,RDBECOLIPMC00254,BINDS
sigma70,RDBECOLIPMC02419,BINDS
sigma38,RDBECOLIPMC02754,BINDS
sigma70,RDBECOLIPMC03138,BINDS
sigma24,RDBECOLIPMC00505,BINDS
sigma70,RDBECOLIPMC02015,BINDS
sigma32,RDBECOLIPMC03158,BINDS
sigma70,RDBECOLIPMC03055,BINDS
sigma38,RDBECOLIPMC00283,BINDS
sigma32,RDBECOLIPMC03261,BINDS
sigma28,RDBECOLIPMC03038,BINDS
sigma32,RDBECOLIPMC03159,BINDS
sigma70,RDBECOLIPMC03096,BINDS
sigma54,RDBECOLIPMC00329,BINDS
sigma38,RDBECOLIPMC03193,BINDS
sigma70,RDBECOLIPMC02515,BINDS
sigma70,RDBECOLIPMC03108,BINDS
sigma70,RDBECOLIPMC00345,BINDS
sigma32,RDBECOLIPMC03255,BINDS
sigma70,RDBECOLIPMC02507,BINDS
sigma70,RDBECOLIPMC03123,BINDS
sigma70,RDBECOLIPMC00268,BINDS
sigma54,RDBECOLIPMC00328,BINDS
sigma70,RDBECOLIPMC02558,BINDS
sigma70,RDBECOLIPMC02436,BINDS
sigma38,RDBECOLIPMC00413,BINDS
sigma38,RDBECOLIPMC00179,BINDS
sigma70,RDBECOLIPMC00311,BINDS
sigma70,RDBECOLIPMC00270,BINDS
sigma70,RDBECOLIPMC00278,BINDS
sigma70,RDBECOLIPMC02542,BINDS
sigma70,RDBECOLIPMC02212,BINDS
sigma70,RDBECOLIPMC00495,BINDS
sigma70,RDBECOLIPMC02550,BINDS
sigma70,RDBECOLIPMC02234,BINDS
sigma70,RDBECOLIPMC03048,BINDS
sigma70,RDBECOLIPMC02555,BINDS
sigma28,RDBECOLIPMC03036,BINDS
sigma28,RDBECOLIPMC00351,BINDS
sigma32,RDBECOLIPMC02298,BINDS
sigma38,RDBECOLIPMC02523,BINDS
sigma70,RDBECOLIPMC00309,BINDS
sigma70,RDBECOLIPMC00279,BINDS
sigma32,RDBECOLIPMC02350,BINDS
sigma32,RDBECOLIPMC03259,BINDS
sigma32,RDBECOLIPMC03248,BINDS
sigma24,RDBECOLIPMC02385,BINDS
sigma70,RDBECOLIPMC02393,BINDS
sigma32,RDBECOLIPMC02398,BINDS
sigma70,RDBECOLIPMC00415,BINDS
sigma70,RDBECOLIPMC03139,BINDS
sigma70,RDBECOLIPMC03015,BINDS
sigma70,RDBECOLIPMC03018,BINDS
sigma70,RDBECOLIPMC03019,BINDS
sigma70,RDBECOLIPMC03020,BINDS
sigma70,RDBECOLIPMC03450,BINDS
sigma70,RDBECOLIPMC03450,BINDS
sigma38,RDBECOLIPMC03022,BINDS
sigma70,RDBECOLIPMC03023,BINDS
sigma70,RDBECOLIPMC03025,BINDS
sigma70,RDBECOLIPMC03026,BINDS
sigma28,RDBECOLIPMC03032,BINDS
sigma28,RDBECOLIPMC03033,BINDS
sigma28,RDBECOLIPMC03037,BINDS
sigma70,RDBECOLIPMC03045,BINDS
sigma70,RDBECOLIPMC03046,BINDS
sigma70,RDBECOLIPMC03048,BINDS
sigma70,RDBECOLIPMC03051,BINDS
